seed,sample_size,total_at_risk_inr,ml_recovered_count,ml_recovery_rate_pct,ml_gross_recovered_inr,ml_operational_costs_inr,ml_friction_costs_inr,ml_net_revenue_inr,noml_recovered_count,noml_recovery_rate_pct,noml_gross_recovered_inr,noml_operational_costs_inr,noml_friction_costs_inr,noml_net_revenue_inr,rule_recovered_count,rule_recovery_rate_pct,rule_gross_recovered_inr,rule_operational_costs_inr,rule_friction_costs_inr,rule_net_revenue_inr,incremental_ml_lift_vs_noml_inr,macro_action_lift_vs_rule_inr,total_ml_lift_vs_rule_inr
1153,1500,36351022.68,1174,83.3,30279629.82,23892.9,1233.0,30254503.92,1180,82.47,29978643.14,26897.3,1947.0,29949798.84,256,14.77,5370076.23,480.75,1197.0,5368398.48,304705.08,24581400.36,24886105.44
1254,1500,36351022.68,1138,81.32,29561805.02,23892.9,1233.0,29536679.12,1161,83.2,30243340.87,26897.3,1947.0,30214496.57,261,13.73,4989554.63,480.75,1197.0,4987876.88,-677817.45,25226619.69,24548802.24
1355,1500,36351022.68,1161,83.56,30374645.54,23892.9,1233.0,30349519.64,1155,80.01,29083461.18,26897.3,1947.0,29054616.88,283,17.37,6314242.63,480.75,1197.0,6312564.88,1294902.76,22742052.0,24036954.76
1456,1500,36351022.68,1153,80.68,29326975.65,23892.9,1233.0,29301849.75,1136,79.75,28988695.98,26897.3,1947.0,28959851.68,272,16.51,6001696.45,480.75,1197.0,6000018.7,341998.07,22959832.98,23301831.05
1557,1500,36351022.68,1126,82.46,29973263.27,23892.9,1233.0,29948137.37,1121,79.29,28822854.04,26897.3,1947.0,28794009.74,272,16.15,5870598.02,480.75,1197.0,5868920.27,1154127.63,22925089.47,24079217.1
1658,1500,36351022.68,1148,78.75,28626226.03,23892.9,1233.0,28601100.13,1158,80.89,29405400.49,26897.3,1947.0,29376556.19,268,16.44,5977417.05,480.75,1197.0,5975739.3,-775456.06,23400816.89,22625360.83
1759,1500,36351022.68,1155,81.35,29572388.62,23892.9,1233.0,29547262.72,1154,80.93,29420080.17,26897.3,1947.0,29391235.87,280,17.87,6496770.7,480.75,1197.0,6495092.95,156026.85,22896142.92,23052169.77
1860,1500,36351022.68,1155,81.38,29583155.7,23892.9,1233.0,29558029.8,1153,83.64,30404181.89,26897.3,1947.0,30375337.59,279,16.78,6098653.29,480.75,1197.0,6096975.54,-817307.79,24278362.05,23461054.26
1961,1500,36351022.68,1143,79.8,29009658.32,23892.9,1233.0,28984532.42,1130,80.11,29120074.22,26897.3,1947.0,29091229.92,280,16.64,6049873.95,480.75,1197.0,6048196.2,-106697.5,23043033.72,22936336.22
2062,1500,36351022.68,1168,81.88,29763648.44,23892.9,1233.0,29738522.54,1154,82.31,29920581.78,26897.3,1947.0,29891737.48,242,16.21,5891321.13,480.75,1197.0,5889643.38,-153214.94,24002094.1,23848879.16
2163,1500,36351022.68,1142,81.42,29596345.27,23892.9,1233.0,29571219.37,1133,81.43,29601419.17,26897.3,1947.0,29572574.87,277,18.21,6619554.22,480.75,1197.0,6617876.47,-1355.5,22954698.4,22953342.9
2264,1500,36351022.68,1181,83.7,30426076.15,23892.9,1233.0,30400950.25,1170,85.07,30924594.55,26897.3,1947.0,30895750.25,270,18.01,6545645.99,480.75,1197.0,6543968.24,-494800.0,24351782.01,23856982.01
2365,1500,36351022.68,1109,78.76,28629909.58,23892.9,1233.0,28604783.68,1130,79.94,29058283.55,26897.3,1947.0,29029439.25,262,15.89,5777035.9,480.75,1197.0,5775358.15,-424655.57,23254081.1,22829425.53
2466,1500,36351022.68,1151,80.68,29327635.17,23892.9,1233.0,29302509.27,1156,82.55,30008453.47,26897.3,1947.0,29979609.17,293,17.18,6245686.9,480.75,1197.0,6244009.15,-677099.9,23735600.02,23058500.12
2567,1500,36351022.68,1172,82.0,29807051.0,23892.9,1233.0,29781925.1,1171,81.87,29761595.09,26897.3,1947.0,29732750.79,271,15.99,5812652.55,480.75,1197.0,5810974.8,49174.31,23921775.99,23970950.3
2668,1500,36351022.68,1161,82.47,29977356.9,23892.9,1233.0,29952231.0,1175,81.4,29588117.34,26897.3,1947.0,29559273.04,284,17.06,6201119.39,480.75,1197.0,6199441.64,392957.96,23359831.4,23752789.36
2769,1500,36351022.68,1151,80.31,29194730.56,23892.9,1233.0,29169604.66,1140,81.04,29460566.92,26897.3,1947.0,29431722.62,277,16.56,6019812.24,480.75,1197.0,6018134.49,-262117.96,23413588.13,23151470.17
2870,1500,36351022.68,1149,81.7,29696977.63,23892.9,1233.0,29671851.73,1143,81.18,29509516.6,26897.3,1947.0,29480672.3,266,17.67,6424306.92,480.75,1197.0,6422629.17,191179.43,23058043.13,23249222.56
2971,1500,36351022.68,1159,83.72,30431709.12,23892.9,1233.0,30406583.22,1183,83.1,30209308.2,26897.3,1947.0,30180463.9,275,17.48,6354990.78,480.75,1197.0,6353313.03,226119.32,23827150.87,24053270.19
